environment,seed,team,relay_count,map_mode,command_mode,stress,n_agents,n_payload,max_steps,success_time,alive_final,reached_final,payload_reached,attrition_rate,exposure_per_agent_step,early_exposure_per_agent_step,recovery_time,mean_effective_map_delay,early_map_mse,mean_consensus,safe_exposure_cut,safe_exposure_scale,reached_fraction,alive_fraction,payload_fraction,time_efficiency,exposure_safety,recovery_safety,strict_success,operational_score,safe_delivery_success,degraded_outcome
grid_world,1865363822,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,34,12,12,2,0.0,0.23163720430265528,0.1621460430118587,13,12.0,0.00679434191354981,0.0,0.17,0.25,1.0,1.0,1.0,0.7166666666666667,0.0734511827893789,0.35,1,75.99498322571797,0,1
grid_world,2825483653,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,35,12,12,2,0.0,0.16237984005388054,0.11691348483879399,7,12.0,0.005565890721844297,0.0,0.17,0.25,1.0,1.0,1.0,0.7083333333333333,0.35048063978447785,0.65,1,82.740062290316,1,0
grid_world,3728552979,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,33,11,10,1,0.08333333333333333,0.23849328033069853,0.15700807621770987,12,12.0,0.00596430536481221,0.0,0.17,0.25,0.8333333333333334,0.9166666666666666,0.5,0.725,0.046026878677205896,0.4,1,61.744376301480884,0,1
grid_world,1669028424,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,35,12,12,2,0.0,0.19212432134201046,0.13832951136624752,11,12.0,0.004271493669861601,0.0,0.17,0.25,1.0,1.0,1.0,0.7083333333333333,0.23150271463195815,0.44999999999999996,1,79.07437133818075,0,1
grid_world,499536339,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,35,12,12,2,0.0,0.17645871317718267,0.12705027348757153,9,12.0,0.004451925922944448,0.0,0.17,0.25,1.0,1.0,1.0,0.7083333333333333,0.2941651472912693,0.55,1,80.95164539541109,0,1
grid_world,2802787897,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,34,12,9,2,0.0,0.18032108632451216,0.1262247604271585,9,12.0,0.003434983037182595,0.0,0.17,0.25,0.75,1.0,1.0,0.7166666666666667,0.27871565470195137,0.55,1,74.868685832494,0,1
grid_world,538170416,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,33,12,10,2,0.0,0.23815570865917277,0.1619458818882375,12,12.0,0.006180778288521649,0.0,0.17,0.25,0.8333333333333334,1.0,1.0,0.725,0.04737716536330894,0.4,1,72.26328031508633,0,1
grid_world,1990328414,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,34,12,10,1,0.0,0.18452970746309083,0.12917079522416358,9,12.0,0.0025598714233453627,0.0,0.17,0.25,0.8333333333333334,1.0,0.5,0.7166666666666667,0.2618811701476367,0.55,1,67.63300304873358,0,1
grid_world,3414225711,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,34,12,9,2,0.0,0.17358901911164296,0.12151231337815008,8,12.0,0.002161757023592525,0.0,0.17,0.25,0.75,1.0,1.0,0.7166666666666667,0.3056439235534282,0.6,1,75.74568159641466,0,1
grid_world,2006499355,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,35,11,11,2,0.08333333333333333,0.20343311601367292,0.1417250708228588,10,12.0,0.002083504496243409,0.0,0.17,0.25,0.9166666666666666,0.9166666666666666,1.0,0.7083333333333333,0.18626753594530832,0.5,1,75.44107883656764,0,1
