display_team,stress,map_mode,command_mode,n,safe_delivery,operational_score,degraded_outcome,attrition_rate,exposure,effective_delay,payload_fraction
balanced_hetero,degraded,scout_belief,crowd_vector,32,0.75,78.24307967895444,0.25,0.026041666666666664,0.11583245821960482,8.148514065335753,0.625
no_relay_hetero,degraded,scout_belief,crowd_vector,32,0.71875,77.51630205152179,0.34375,0.026041666666666664,0.10934551141259416,12.0,0.609375
relay_rich,degraded,scout_belief,crowd_vector,32,0.53125,75.74164145030205,0.53125,0.03645833333333333,0.12300833276509474,4.341681446955948,0.625
relay_rich_scout_matched,degraded,scout_belief,crowd_vector,32,0.53125,75.74913636078134,0.46875,0.04427083333333333,0.1167085119496265,4.138602563750023,0.5625
relay_rich_scout_matched_standardized,degraded,scout_belief,crowd_vector,32,0.53125,76.52933377732218,0.5,0.0546875,0.10850233429287363,4.1854163106630216,0.59375
relay_rich_standardized,degraded,scout_belief,crowd_vector,32,0.5,75.72333115484781,0.53125,0.041666666666666664,0.10477721677302626,4.336735220110208,0.59375
balanced_hetero,severe,delayed,autonomous,32,0.09375,71.19421522079803,0.9375,0.09375,0.13091778859380887,16.60018372229433,0.640625
no_relay_hetero,severe,delayed,autonomous,32,0.53125,71.87892150684877,0.53125,0.0390625,0.11894680886063042,24.0,0.546875
relay_rich,severe,delayed,autonomous,32,0.28125,71.34677093054746,0.75,0.0703125,0.12760927426600022,9.078967138217365,0.59375
relay_rich_scout_matched,severe,delayed,autonomous,32,0.25,71.63964732136907,0.78125,0.08854166666666666,0.12491119685467658,8.59327643366406,0.578125
relay_rich_scout_matched_standardized,severe,delayed,autonomous,32,0.125,68.77571149895577,0.875,0.11197916666666666,0.1289714581910125,9.182154931258832,0.5625
relay_rich_standardized,severe,delayed,autonomous,32,0.15625,68.43894448648022,0.84375,0.11458333333333333,0.12420200330769177,9.498596764573398,0.578125
balanced_hetero,severe,delayed,crowd_vector,32,0.3125,75.39892729118111,0.6875,0.06770833333333333,0.1193635830433444,16.392087715569673,0.578125
no_relay_hetero,severe,delayed,crowd_vector,32,0.46875,77.6232357887242,0.53125,0.0546875,0.10899101697084193,24.0,0.65625
relay_rich,severe,delayed,crowd_vector,32,0.28125,74.19883672591159,0.71875,0.09375,0.11908127605313532,9.092133329441268,0.625
relay_rich_scout_matched,severe,delayed,crowd_vector,32,0.25,74.86039351090177,0.75,0.09114583333333333,0.11913429244773407,9.108112094233245,0.59375
relay_rich_scout_matched_standardized,severe,delayed,crowd_vector,32,0.1875,74.54357287521906,0.84375,0.109375,0.10810943021481167,9.168005672137028,0.625
relay_rich_standardized,severe,delayed,crowd_vector,32,0.25,73.98375771762517,0.75,0.09114583333333333,0.11137378745319187,9.223581195384293,0.609375
balanced_hetero,severe,scout_belief,autonomous,32,0.21875,73.2355966031634,0.78125,0.08333333333333333,0.11560629941060686,16.636181460705053,0.5625
no_relay_hetero,severe,scout_belief,autonomous,32,0.28125,72.10129802925469,0.75,0.07552083333333333,0.11754210239742631,24.0,0.5625
relay_rich,severe,scout_belief,autonomous,32,0.28125,71.08074525398004,0.78125,0.07291666666666666,0.13297370553269455,8.962233360089531,0.59375
relay_rich_scout_matched,severe,scout_belief,autonomous,32,0.21875,72.20568904623762,0.78125,0.09375,0.12777468800356753,8.884499025622253,0.578125
relay_rich_scout_matched_standardized,severe,scout_belief,autonomous,32,0.1875,72.06731974937907,0.875,0.09895833333333333,0.11975114600182091,9.146491255535096,0.609375
relay_rich_standardized,severe,scout_belief,autonomous,32,0.15625,71.36718311336553,0.84375,0.09635416666666666,0.1179799796471131,9.582927545771874,0.609375
