stress,map_mode,command_mode,contrast,metric,delta,ci95_low,ci95_high,n_left,n_right
severe,delayed,autonomous,relay_rich_standardized_minus_no_relay,operational_score,-3.4399770203685733,-6.272937964954048,-0.4972225227183413,32,32
severe,delayed,autonomous,relay_rich_standardized_minus_no_relay,degraded_outcome,0.3125,0.09375,0.53125,32,32
severe,delayed,autonomous,relay_rich_standardized_minus_no_relay,attrition_rate,0.07552083333333333,0.0390625,0.11197916666666666,32,32
severe,delayed,autonomous,relay_rich_standardized_minus_no_relay,exposure_per_agent_step,0.005255194447061365,-0.006901610792047255,0.016041657119523763,32,32
severe,delayed,autonomous,relay_rich_standardized_minus_no_relay,mean_effective_map_delay,-14.501403235426602,-15.083104315574397,-13.846865160795799,32,32
severe,delayed,autonomous,relay_rich_standardized_minus_no_relay,payload_fraction,0.03125,-0.0625,0.125,32,32
severe,delayed,autonomous,relay_rich_scout_matched_minus_no_relay,safe_delivery_success,-0.28125,-0.5,-0.03125,32,32
severe,delayed,autonomous,relay_rich_scout_matched_minus_no_relay,operational_score,-0.23927418547971513,-3.125547163660511,2.9636621003109007,32,32
severe,delayed,autonomous,relay_rich_scout_matched_minus_no_relay,degraded_outcome,0.25,0.03125,0.5,32,32
severe,delayed,autonomous,relay_rich_scout_matched_minus_no_relay,attrition_rate,0.04947916666666666,0.018229166666666657,0.08333333333333333,32,32
severe,delayed,autonomous,relay_rich_scout_matched_minus_no_relay,exposure_per_agent_step,0.005964387994046166,-0.0034585096903161946,0.015615445747266617,32,32
severe,delayed,autonomous,relay_rich_scout_matched_minus_no_relay,mean_effective_map_delay,-15.40672356633594,-15.739228696389196,-15.00664421768004,32,32
severe,delayed,autonomous,relay_rich_scout_matched_minus_no_relay,payload_fraction,0.03125,-0.0625,0.125,32,32
severe,delayed,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,safe_delivery_success,-0.40625,-0.625,-0.1875,32,32
severe,delayed,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,operational_score,-3.1032100078930114,-5.726580102314215,-0.2941579021148624,32,32
severe,delayed,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,degraded_outcome,0.34375,0.125,0.5625,32,32
severe,delayed,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,attrition_rate,0.07291666666666667,0.03385416666666666,0.11458333333333334,32,32
severe,delayed,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,exposure_per_agent_step,0.010024649330382052,-0.000837390119799652,0.020588055720424648,32,32
severe,delayed,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,mean_effective_map_delay,-14.817845068741168,-15.391783212166604,-14.18331100201577,32,32
severe,delayed,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,payload_fraction,0.015625,-0.078125,0.109375,32,32
severe,delayed,crowd_vector,balanced_hetero_minus_no_relay,safe_delivery_success,-0.15625,-0.375,0.09375,32,32
severe,delayed,crowd_vector,balanced_hetero_minus_no_relay,operational_score,-2.224308497543092,-5.064219428075284,0.9929693318242163,32,32
severe,delayed,crowd_vector,balanced_hetero_minus_no_relay,degraded_outcome,0.15625,-0.0625,0.40625,32,32
severe,delayed,crowd_vector,balanced_hetero_minus_no_relay,attrition_rate,0.013020833333333329,-0.018229166666666657,0.041666666666666664,32,32
severe,delayed,crowd_vector,balanced_hetero_minus_no_relay,exposure_per_agent_step,0.010372566072502476,0.0004217955543972423,0.02163905080565359,32,32
severe,delayed,crowd_vector,balanced_hetero_minus_no_relay,mean_effective_map_delay,-7.607912284430327,-7.870656331067295,-7.3158519126871155,32,32
severe,delayed,crowd_vector,balanced_hetero_minus_no_relay,payload_fraction,-0.078125,-0.1875,0.03125,32,32
severe,delayed,crowd_vector,relay_rich_minus_no_relay,safe_delivery_success,-0.1875,-0.40625,0.03125,32,32
severe,delayed,crowd_vector,relay_rich_minus_no_relay,operational_score,-3.4243990628126255,-6.731063937297291,-0.3650712126116968,32,32
severe,delayed,crowd_vector,relay_rich_minus_no_relay,degraded_outcome,0.1875,-0.0625,0.40625,32,32
severe,delayed,crowd_vector,relay_rich_minus_no_relay,attrition_rate,0.0390625,0.0078125,0.07291666666666667,32,32
severe,delayed,crowd_vector,relay_rich_minus_no_relay,exposure_per_agent_step,0.010090259082293385,0.0004201973715345531,0.01971660379401842,32,32
severe,delayed,crowd_vector,relay_rich_minus_no_relay,mean_effective_map_delay,-14.907866670558732,-15.41538652833296,-14.380822182283787,32,32
severe,delayed,crowd_vector,relay_rich_minus_no_relay,payload_fraction,-0.03125,-0.140625,0.078125,32,32
severe,delayed,crowd_vector,relay_rich_standardized_minus_no_relay,safe_delivery_success,-0.21875,-0.4375,0.03125,32,32
severe,delayed,crowd_vector,relay_rich_standardized_minus_no_relay,operational_score,-3.639478071099049,-6.523963483577625,-0.616606439722402,32,32
severe,delayed,crowd_vector,relay_rich_standardized_minus_no_relay,degraded_outcome,0.21875,0.0,0.4375,32,32
severe,delayed,crowd_vector,relay_rich_standardized_minus_no_relay,attrition_rate,0.03645833333333333,0.007747395833333324,0.06510416666666666,32,32
severe,delayed,crowd_vector,relay_rich_standardized_minus_no_relay,exposure_per_agent_step,0.002382770482349944,-0.006791657076760467,0.01164005055749076,32,32
severe,delayed,crowd_vector,relay_rich_standardized_minus_no_relay,mean_effective_map_delay,-14.776418804615709,-15.282318924902215,-14.209709499642797,32,32
severe,delayed,crowd_vector,relay_rich_standardized_minus_no_relay,payload_fraction,-0.046875,-0.14101562499999998,0.0625,32,32
severe,delayed,crowd_vector,relay_rich_scout_matched_minus_no_relay,safe_delivery_success,-0.21875,-0.4375,0.0,32,32
severe,delayed,crowd_vector,relay_rich_scout_matched_minus_no_relay,operational_score,-2.762842277822429,-5.547674776162799,-0.038225057630004396,32,32
severe,delayed,crowd_vector,relay_rich_scout_matched_minus_no_relay,degraded_outcome,0.21875,-0.0007812499999999556,0.4375,32,32
severe,delayed,crowd_vector,relay_rich_scout_matched_minus_no_relay,attrition_rate,0.03645833333333333,0.005208333333333343,0.06510416666666667,32,32
severe,delayed,crowd_vector,relay_rich_scout_matched_minus_no_relay,exposure_per_agent_step,0.010143275476892144,0.0005957507870179814,0.020285007232004777,32,32
severe,delayed,crowd_vector,relay_rich_scout_matched_minus_no_relay,mean_effective_map_delay,-14.891887905766755,-15.531197622677565,-14.180003180094635,32,32
severe,delayed,crowd_vector,relay_rich_scout_matched_minus_no_relay,payload_fraction,-0.0625,-0.15664062499999998,0.046875,32,32
severe,delayed,crowd_vector,relay_rich_scout_matched_standardized_minus_no_relay,safe_delivery_success,-0.28125,-0.5,-0.0625,32,32
severe,delayed,crowd_vector,relay_rich_scout_matched_standardized_minus_no_relay,operational_score,-3.079662913505146,-6.265594448065066,0.10761748511525376,32,32
