stress,team,map_mode,command_mode,n,safe_delivery,operational_score,degraded,exposure,attrition,map_mse,false_safe,effective_delay,consensus
degraded,no_relay_hetero,no_shared,stale_hold,12,0.5833333333333334,76.73207181567422,0.4166666666666667,0.103588606917712,0.03472222222222221,0.029367076221626542,0.05917125803489435,12.0,0.6270991957282036
degraded,no_relay_hetero,perfect,autonomous,12,0.6666666666666666,74.01626263031271,0.5833333333333334,0.11584100522736092,0.020833333333333325,0.0,0.0,12.0,0.0
degraded,no_relay_hetero,perfect,consensus_gated,12,0.9166666666666666,77.93219069500633,0.08333333333333333,0.10540552188270462,0.0069444444444444415,0.0,0.0,12.0,0.6375274251577737
degraded,no_relay_hetero,perfect,crowd_vector,12,0.5,75.26499115952646,0.5,0.1148133664349545,0.05555555555555553,0.0,0.0,12.0,0.6324899469570304
degraded,no_relay_hetero,perfect,stale_hold,12,0.5,76.76843929471636,0.5,0.10432664177085915,0.04166666666666665,0.0,0.0,12.0,0.637834614328111
degraded,no_relay_hetero,scout_belief,autonomous,12,0.4166666666666667,71.90111018952446,0.6666666666666666,0.12176826845032974,0.03472222222222221,0.0027558641544453495,0.0,12.0,0.0
degraded,no_relay_hetero,scout_belief,consensus_gated,12,0.8333333333333334,79.53702406732239,0.16666666666666666,0.10514041545001297,0.0069444444444444415,0.0030060872919530413,0.0,12.0,0.6449858502449067
degraded,no_relay_hetero,scout_belief,crowd_vector,12,0.5,75.36734797686752,0.6666666666666666,0.10712289158044147,0.04166666666666665,0.003369232990546917,0.0011574074074074,12.0,0.6427546934243512
degraded,no_relay_hetero,scout_belief,stale_hold,12,0.5,78.24512594628568,0.5,0.11108056052662181,0.0486111111111111,0.003276175878644533,0.0,12.0,0.6500701870785995
degraded,relay_rich,delayed,autonomous,12,0.4166666666666667,71.09769093860416,1.0,0.12548866620288696,0.09027777777777775,0.00028042371012505747,0.0,4.503362573099415,0.0
degraded,relay_rich,delayed,consensus_gated,12,0.6666666666666666,76.65874593939036,0.5,0.120251452698469,0.03472222222222221,0.00023777450105048716,0.0,4.200659133709981,0.6449181072018494
degraded,relay_rich,delayed,crowd_vector,12,0.4166666666666667,73.5243182115759,0.75,0.12325145455883359,0.05555555555555553,0.00028155852463064335,0.0,4.232758620689656,0.6408992010712559
degraded,relay_rich,delayed,stale_hold,12,0.3333333333333333,75.23894681333597,0.75,0.11814723790683689,0.06249999999999997,0.00029956363554995764,0.0,4.490615938101635,0.6403332016509008
degraded,relay_rich,no_shared,autonomous,12,0.75,76.52887554055863,0.4166666666666667,0.1155991515584171,0.020833333333333325,0.031230843742361125,0.06745963422099781,4.1620670995671,0.0
degraded,relay_rich,no_shared,consensus_gated,12,0.5833333333333334,76.5959092463845,0.5,0.11786322507004247,0.04166666666666665,0.032707895326212884,0.0757958371594735,4.150635208711434,0.6247263317276577
degraded,relay_rich,no_shared,crowd_vector,12,0.6666666666666666,75.4804618672856,0.4166666666666667,0.12398427647704628,0.03472222222222221,0.03380426630730137,0.07753577441077437,4.4234400656814445,0.6316037976050074
degraded,relay_rich,no_shared,stale_hold,12,0.5,71.63550087843544,0.6666666666666666,0.12240641476744311,0.06249999999999999,0.033990378354513705,0.07757786195286191,4.437708855472013,0.6101017630282602
degraded,relay_rich,perfect,autonomous,12,0.25,72.3592654045931,0.9166666666666666,0.13070492988549456,0.0486111111111111,0.0,0.0,4.257256127227392,0.0
degraded,relay_rich,perfect,consensus_gated,12,0.6666666666666666,72.85897745978951,0.6666666666666666,0.1235507245736779,0.03472222222222221,0.0,0.0,4.20784632034632,0.6491331443085829
degraded,relay_rich,perfect,crowd_vector,12,0.5,75.57235071405196,0.6666666666666666,0.11622549407018856,0.04166666666666665,0.0,0.0,4.322994987468672,0.6445840487960875
degraded,relay_rich,perfect,stale_hold,12,0.5,75.53777584275201,0.6666666666666666,0.12042092987844716,0.0486111111111111,0.0,0.0,4.180973266499582,0.6380764863487534
degraded,relay_rich,scout_belief,autonomous,12,0.3333333333333333,72.32184391267229,0.6666666666666666,0.12104959565800667,0.09722222222222221,0.002774999200005342,0.0,4.694746728367418,0.0
degraded,relay_rich,scout_belief,consensus_gated,12,0.4166666666666667,73.65860201606158,0.6666666666666666,0.12707778842485237,0.06249999999999998,0.004226525371522833,0.0,4.682597297842308,0.6469581987642584
degraded,relay_rich,scout_belief,crowd_vector,12,0.3333333333333333,74.82528530572746,0.75,0.12165027852904468,0.06944444444444442,0.003849489739606167,0.0,4.647052369220205,0.646621926200822
degraded,relay_rich,scout_belief,stale_hold,12,0.25,75.12797406452586,0.75,0.12213183612887933,0.0833333333333333,0.004263080805178942,0.0,4.236217339325325,0.656815364373645
degraded,scout_rich,delayed,autonomous,12,0.5,72.14074175790995,0.75,0.1307486612645897,0.03472222222222221,0.0010735194469304083,0.0,10.0,0.0
