seed,team,map_mode,command_mode,stress,stress_family,mission_profile,mission_success,success_time,first_threshold_time,strict_success,strict_success_time,alive_final,reached_final,n_payload,payload_reached,attrition_rate,early_attrition_rate,cumulative_exposure,exposure_per_agent_step,early_exposure_per_agent_step,recovery_time,mean_fragmentation,max_fragmentation,mean_consensus,mean_dispersion,mean_polarization,command_reversal_rate,early_mean_consensus,early_mean_dispersion,early_reversal_rate,early_map_mse,false_safe_rate,false_danger_rate,mean_effective_map_delay,collapse_time,failure_label,n_agents,reached_fraction,alive_fraction,payload_fraction,time_efficiency,exposure_safety,recovery_safety,operational_score,safe_delivery_success,degraded_outcome
2899186346,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,44,44,1,44,12,9,0.0,0,0.0,0.0,59.78632665537382,0.11071541973217373,0.06642925183930425,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.75,1.0,0.75,0.7555555555555555,0.4967480921264831,0.6,74.54336217865966,1,1
2899187355,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,45,45,1,45,11,9,0.0,0,0.08333333333333333,0.08333333333333333,85.55866958557206,0.16082456689017305,0.0950651884284134,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.75,0.9166666666666666,0.75,0.75,0.2689792414083043,0.44999999999999996,68.26570937971627,0,1
2899188364,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,45,45,1,45,12,11,0.0,0,0.0,0.0,91.56770643842606,0.16588352615656896,0.10174189604269562,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.9166666666666666,1.0,0.9166666666666666,0.75,0.24598397201559563,0.4,75.94377560821833,0,1
2899189373,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,44,44,1,44,12,11,0.0,0,0.0,0.0,61.61415113037376,0.11410027987106253,0.06846016792263751,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.9166666666666666,1.0,0.9166666666666666,0.7555555555555555,0.48136236422244305,0.6,81.3279619880031,1,1
2899190382,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,45,45,1,45,12,12,0.0,0,0.0,0.0,72.41295402482203,0.13118288772612685,0.08045883780535781,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,1.0,1.0,1.0,0.75,0.4037141466994234,0.55,83.15199805379193,1,1
2899191391,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,45,44,1,45,12,11,0.0,0,0.0,0.0,66.58711023184908,0.12062882288378457,0.07398567803538787,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.9166666666666666,1.0,0.9166666666666666,0.75,0.4516871687100701,0.55,80.32362036194098,1,1
2899192400,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,46,45,1,46,12,10,0.0,0,0.0,0.0,89.72689449524995,0.15909023846675524,0.09969654943916662,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.8333333333333334,1.0,0.8333333333333334,0.7444444444444445,0.27686255242383984,0.44999999999999996,73.28718684504489,0,1
2899193409,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,44,44,1,44,11,11,0.0,0,0.08333333333333333,0.08333333333333333,72.06221193598611,0.13911623925866046,0.08006912437331791,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.7555555555555555,0.3676534579151798,0.55,77.73603729970141,0,1
2899194418,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,44,43,1,44,12,10,0.0,0,0.0,0.0,60.507152793237644,0.11205028295044007,0.06723016977026405,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.8333333333333334,1.0,0.8333333333333334,0.7555555555555555,0.4906805320434542,0.6,77.95841633749725,1,1
2899195427,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,45,45,1,45,12,9,0.0,0,0.0,0.0,71.12684168307776,0.12885297406354665,0.07902982409230862,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.75,1.0,0.75,0.75,0.41430466334751526,0.55,72.80026528686521,1,1
