seed,team,map_mode,command_mode,stress,stress_family,mission_profile,mission_success,success_time,first_threshold_time,strict_success,strict_success_time,alive_final,reached_final,n_payload,payload_reached,attrition_rate,early_attrition_rate,cumulative_exposure,exposure_per_agent_step,early_exposure_per_agent_step,recovery_time,mean_fragmentation,max_fragmentation,mean_consensus,mean_dispersion,mean_polarization,command_reversal_rate,early_mean_consensus,early_mean_dispersion,early_reversal_rate,early_map_mse,false_safe_rate,false_danger_rate,mean_effective_map_delay,collapse_time,failure_label,matched_variant,display_team,max_steps,safe_exposure_cut,safe_exposure_scale,n_agents,reached_fraction,alive_fraction,payload_fraction,time_efficiency,exposure_safety,recovery_safety,operational_score,safe_delivery_success,degraded_outcome
3810470288,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,57,45,1,57,12,11,2,1,0.0,0.0,110.10442683162826,0.15819601556268428,0.12233825203514251,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030105170096065242,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6833333333333333,0.28092720198779875,0.30000000000000004,66.8663141611625,0,1
3362436975,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,58,44,1,58,11,11,2,2,0.08333333333333333,0.08333333333333333,74.3369047695063,0.1133184523925401,0.08259656085500701,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010382140728568505,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,0.9166666666666666,1.0,0.6777777777777778,0.4849161254884541,1.0,84.1332702012828,0,1
449946895,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,58,45,1,58,11,10,2,1,0.08333333333333333,0.08333333333333333,91.99410781711408,0.13938501184411226,0.10221567535234899,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003833925677610147,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.8333333333333334,0.9166666666666666,0.5,0.6777777777777778,0.3664317643449443,1.0,71.47448914527365,0,1
3830867559,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,54,45,1,54,12,11,2,1,0.0,0.0,76.08071633876972,0.11527381263449957,0.08453412926529968,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018536178607433818,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.7,0.4760281243886383,0.6,72.86439374144092,1,0
765867201,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,57,44,1,57,11,11,2,1,0.08333333333333333,0.08333333333333333,82.5283048398385,0.12190296135869792,0.09169811648870944,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013070004853643876,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,0.9166666666666666,0.5,0.6833333333333333,0.4458956301877367,1.0,74.67587215596164,0,1
3049931827,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,54,44,1,54,11,11,2,1,0.08333333333333333,0.08333333333333333,66.1722039119745,0.10056565944069074,0.07352467101330501,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001338699816452186,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,0.9166666666666666,0.5,0.7,0.5428833661786785,0.6,72.3003671265015,0,1
3233134960,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,56,45,1,56,12,12,2,2,0.0,0.0,91.40388516068425,0.13363141105363194,0.10155987240076028,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007000551826064249,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,1.0,1.0,1.0,0.6888888888888889,0.3925844952107639,0.5,81.51840515517293,1,1
3362588987,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,56,45,1,56,12,11,2,1,0.0,0.0,67.80317500442708,0.09912744883688168,0.07533686111603008,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011255328320211309,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6888888888888889,0.5494206871050833,0.6,73.71411184169338,1,0
2598842213,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,56,44,1,56,11,11,2,1,0.08333333333333333,0.08333333333333333,73.35311176759535,0.10803109244123027,0.08150345751955039,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032982552231028444,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,0.9166666666666666,0.5,0.6888888888888889,0.5089495798125897,0.65,72.14751633959847,0,1
3360985572,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,56,45,1,56,11,11,2,1,0.08333333333333333,0.08333333333333333,111.82741076766136,0.16518081354159728,0.12425267863073484,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037529061961805044,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,0.9166666666666666,0.5,0.6888888888888889,0.24917812026546693,0.30000000000000004,65.01071590593874,0,1
