stress,map_mode,command_mode,variant,fold,metric,delta,expected_direction,direction_matches
degraded,scout_belief,autonomous,relay_rich,2,safe_delivery_success,0.625,-1,False
degraded,scout_belief,autonomous,relay_rich,2,degraded_outcome,-0.625,1,False
degraded,scout_belief,autonomous,relay_rich,2,attrition_rate,-0.062499999999999965,1,False
degraded,scout_belief,autonomous,relay_rich,2,mean_effective_map_delay,-8.0,-1,True
degraded,scout_belief,autonomous,relay_rich,3,safe_delivery_success,0.125,-1,False
degraded,scout_belief,autonomous,relay_rich,3,degraded_outcome,-0.125,1,False
degraded,scout_belief,autonomous,relay_rich,3,attrition_rate,-0.010416666666666664,1,False
degraded,scout_belief,autonomous,relay_rich,3,mean_effective_map_delay,-7.8125,-1,True
degraded,scout_belief,autonomous,relay_rich_standardized,0,safe_delivery_success,-0.125,-1,True
degraded,scout_belief,autonomous,relay_rich_standardized,0,degraded_outcome,0.25,1,True
degraded,scout_belief,autonomous,relay_rich_standardized,0,attrition_rate,0.03124999999999999,1,True
degraded,scout_belief,autonomous,relay_rich_standardized,0,mean_effective_map_delay,-7.630222371967655,-1,True
degraded,scout_belief,autonomous,relay_rich_standardized,1,safe_delivery_success,-0.25,-1,True
degraded,scout_belief,autonomous,relay_rich_standardized,1,degraded_outcome,0.25,1,True
degraded,scout_belief,autonomous,relay_rich_standardized,1,attrition_rate,0.010416666666666664,1,True
degraded,scout_belief,autonomous,relay_rich_standardized,1,mean_effective_map_delay,-7.9212794918330305,-1,True
degraded,scout_belief,autonomous,relay_rich_standardized,2,safe_delivery_success,0.5,-1,False
degraded,scout_belief,autonomous,relay_rich_standardized,2,degraded_outcome,-0.5,1,False
degraded,scout_belief,autonomous,relay_rich_standardized,2,attrition_rate,-0.041666666666666644,1,False
degraded,scout_belief,autonomous,relay_rich_standardized,2,mean_effective_map_delay,-7.788793103448276,-1,True
degraded,scout_belief,autonomous,relay_rich_standardized,3,safe_delivery_success,-0.125,-1,True
degraded,scout_belief,autonomous,relay_rich_standardized,3,degraded_outcome,0.125,1,True
degraded,scout_belief,autonomous,relay_rich_standardized,3,attrition_rate,0.010416666666666671,1,True
degraded,scout_belief,autonomous,relay_rich_standardized,3,mean_effective_map_delay,-7.589473684210526,-1,True
degraded,scout_belief,autonomous,relay_rich_scout_matched,0,safe_delivery_success,0.0,-1,False
degraded,scout_belief,autonomous,relay_rich_scout_matched,0,degraded_outcome,0.0,1,False
degraded,scout_belief,autonomous,relay_rich_scout_matched,0,attrition_rate,0.0,1,False
degraded,scout_belief,autonomous,relay_rich_scout_matched,0,mean_effective_map_delay,-8.0,-1,True
degraded,scout_belief,autonomous,relay_rich_scout_matched,1,safe_delivery_success,-0.125,-1,True
degraded,scout_belief,autonomous,relay_rich_scout_matched,1,degraded_outcome,0.125,1,True
degraded,scout_belief,autonomous,relay_rich_scout_matched,1,attrition_rate,0.010416666666666664,1,True
degraded,scout_belief,autonomous,relay_rich_scout_matched,1,mean_effective_map_delay,-7.901785714285714,-1,True
degraded,scout_belief,autonomous,relay_rich_scout_matched,2,safe_delivery_success,0.375,-1,False
degraded,scout_belief,autonomous,relay_rich_scout_matched,2,degraded_outcome,-0.375,1,False
degraded,scout_belief,autonomous,relay_rich_scout_matched,2,attrition_rate,-0.041666666666666644,1,False
degraded,scout_belief,autonomous,relay_rich_scout_matched,2,mean_effective_map_delay,-7.875,-1,True
degraded,scout_belief,autonomous,relay_rich_scout_matched,3,safe_delivery_success,0.25,-1,False
degraded,scout_belief,autonomous,relay_rich_scout_matched,3,degraded_outcome,-0.25,1,False
degraded,scout_belief,autonomous,relay_rich_scout_matched,3,attrition_rate,-0.02083333333333333,1,False
degraded,scout_belief,autonomous,relay_rich_scout_matched,3,mean_effective_map_delay,-7.741228070175438,-1,True
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized,0,safe_delivery_success,-0.25,-1,True
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized,0,degraded_outcome,0.25,1,True
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized,0,attrition_rate,0.03124999999999999,1,True
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized,0,mean_effective_map_delay,-7.93859649122807,-1,True
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized,1,safe_delivery_success,-0.125,-1,True
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized,1,degraded_outcome,0.125,1,True
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized,1,attrition_rate,0.010416666666666664,1,True
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized,1,mean_effective_map_delay,-7.689655172413793,-1,True
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized,2,safe_delivery_success,0.5,-1,False
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized,2,degraded_outcome,-0.5,1,False
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized,2,attrition_rate,-0.041666666666666644,1,False
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized,2,mean_effective_map_delay,-7.870535714285714,-1,True
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized,3,safe_delivery_success,0.25,-1,False
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized,3,degraded_outcome,-0.125,1,False
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized,3,attrition_rate,0.010416666666666671,1,True
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized,3,mean_effective_map_delay,-7.802631578947368,-1,True
degraded,scout_belief,crowd_vector,relay_rich,0,safe_delivery_success,-0.125,-1,True
degraded,scout_belief,crowd_vector,relay_rich,0,degraded_outcome,0.125,1,True
degraded,scout_belief,crowd_vector,relay_rich,0,attrition_rate,0.010416666666666661,1,True
degraded,scout_belief,crowd_vector,relay_rich,0,mean_effective_map_delay,-7.7351190476190474,-1,True
degraded,scout_belief,crowd_vector,relay_rich,1,safe_delivery_success,-0.25,-1,True
degraded,scout_belief,crowd_vector,relay_rich,1,degraded_outcome,0.25,1,True
degraded,scout_belief,crowd_vector,relay_rich,1,attrition_rate,0.020833333333333325,1,True
degraded,scout_belief,crowd_vector,relay_rich,1,mean_effective_map_delay,-7.568567726133516,-1,True
degraded,scout_belief,crowd_vector,relay_rich,2,safe_delivery_success,0.0,-1,False
degraded,scout_belief,crowd_vector,relay_rich,2,degraded_outcome,0.125,1,True
degraded,scout_belief,crowd_vector,relay_rich,2,attrition_rate,-0.020833333333333322,1,False
degraded,scout_belief,crowd_vector,relay_rich,2,mean_effective_map_delay,-7.758928571428571,-1,True
degraded,scout_belief,crowd_vector,relay_rich,3,safe_delivery_success,-0.375,-1,True
degraded,scout_belief,crowd_vector,relay_rich,3,degraded_outcome,0.25,1,True
degraded,scout_belief,crowd_vector,relay_rich,3,attrition_rate,0.031249999999999986,1,True
degraded,scout_belief,crowd_vector,relay_rich,3,mean_effective_map_delay,-7.570658866995074,-1,True
degraded,scout_belief,crowd_vector,relay_rich_standardized,0,safe_delivery_success,-0.25,-1,True
degraded,scout_belief,crowd_vector,relay_rich_standardized,0,degraded_outcome,0.375,1,True
degraded,scout_belief,crowd_vector,relay_rich_standardized,0,attrition_rate,0.03124999999999999,1,True
degraded,scout_belief,crowd_vector,relay_rich_standardized,0,mean_effective_map_delay,-7.671490147783251,-1,True
degraded,scout_belief,crowd_vector,relay_rich_standardized,1,safe_delivery_success,-0.125,-1,True
degraded,scout_belief,crowd_vector,relay_rich_standardized,1,degraded_outcome,0.125,1,True
degraded,scout_belief,crowd_vector,relay_rich_standardized,1,attrition_rate,0.010416666666666661,1,True
degraded,scout_belief,crowd_vector,relay_rich_standardized,1,mean_effective_map_delay,-7.870535714285714,-1,True
degraded,scout_belief,crowd_vector,relay_rich_standardized,2,safe_delivery_success,-0.25,-1,True
degraded,scout_belief,crowd_vector,relay_rich_standardized,2,degraded_outcome,0.125,1,True
degraded,scout_belief,crowd_vector,relay_rich_standardized,2,attrition_rate,0.0,1,False
degraded,scout_belief,crowd_vector,relay_rich_standardized,2,mean_effective_map_delay,-7.608429176755448,-1,True
degraded,scout_belief,crowd_vector,relay_rich_standardized,3,safe_delivery_success,-0.25,-1,True
degraded,scout_belief,crowd_vector,relay_rich_standardized,3,degraded_outcome,0.125,1,True
degraded,scout_belief,crowd_vector,relay_rich_standardized,3,attrition_rate,0.02083333333333333,1,True
degraded,scout_belief,crowd_vector,relay_rich_standardized,3,mean_effective_map_delay,-7.502604080734752,-1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched,0,safe_delivery_success,-0.125,-1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched,0,degraded_outcome,0.125,1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched,0,attrition_rate,0.010416666666666661,1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched,0,mean_effective_map_delay,-7.865709728867624,-1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched,1,safe_delivery_success,-0.125,-1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched,1,degraded_outcome,0.125,1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched,1,attrition_rate,0.010416666666666661,1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched,1,mean_effective_map_delay,-7.973684210526316,-1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched,2,safe_delivery_success,-0.25,-1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched,2,degraded_outcome,0.125,1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched,2,attrition_rate,0.031249999999999986,1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched,2,mean_effective_map_delay,-7.701023391812866,-1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched,3,safe_delivery_success,-0.25,-1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched,3,degraded_outcome,0.125,1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched,3,attrition_rate,0.02083333333333333,1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched,3,mean_effective_map_delay,-7.905172413793103,-1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_standardized,0,safe_delivery_success,-0.125,-1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_standardized,0,degraded_outcome,0.125,1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_standardized,0,attrition_rate,0.010416666666666661,1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_standardized,0,mean_effective_map_delay,-8.0,-1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_standardized,1,safe_delivery_success,-0.25,-1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_standardized,1,degraded_outcome,0.375,1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_standardized,1,attrition_rate,0.03124999999999999,1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_standardized,1,mean_effective_map_delay,-7.87719298245614,-1,True
