seed,team,map_mode,command_mode,stress,stress_family,mission_profile,mission_success,success_time,first_threshold_time,strict_success,strict_success_time,alive_final,reached_final,n_payload,payload_reached,attrition_rate,early_attrition_rate,cumulative_exposure,exposure_per_agent_step,early_exposure_per_agent_step,recovery_time,mean_fragmentation,max_fragmentation,mean_consensus,mean_dispersion,mean_polarization,command_reversal_rate,early_mean_consensus,early_mean_dispersion,early_reversal_rate,early_map_mse,false_safe_rate,false_danger_rate,mean_effective_map_delay,collapse_time,failure_label,stress_base,variant,noise_scale,loss_scale,dropout_scale,delay_scale,max_steps,safe_exposure_cut,safe_exposure_scale,n_agents,reached_fraction,alive_fraction,payload_fraction,time_efficiency,exposure_safety,recovery_safety,operational_score,safe_delivery_success,degraded_outcome
3436549982,no_relay_hetero,scout_belief,autonomous,degraded_robust_00,degraded_robust_00,full_delivery,1,55,45,1,55,12,11,2,1,0.0,0.0,61.99401040146898,0.09225299166885265,0.06888223377940997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003136879949754961,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6944444444444444,0.5806682196870334,1.0,78.24046618672958,1,0
2528822079,no_relay_hetero,scout_belief,autonomous,degraded_robust_00,degraded_robust_00,full_delivery,1,55,45,1,55,12,11,2,1,0.0,0.0,91.75440959136644,0.13653929998715245,0.10194934399040716,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031144083334640692,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6944444444444444,0.3793668182402161,0.5,70.42224656647413,1,1
1535098170,no_relay_hetero,scout_belief,crowd_vector,degraded_robust_00,degraded_robust_00,full_delivery,1,56,45,1,56,12,11,2,1,0.0,0.0,83.53870857654124,0.12213261487798427,0.09282078730726805,0,0.0,0.0,0.6471734892787525,0.059781742028805096,0.2550847785376948,0.0,0.6471734892787525,0.059781742028805096,0.0,0.0034527752396262402,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6888888888888889,0.444851750554617,1.0,76.25014672998685,1,0
2688534385,no_relay_hetero,scout_belief,crowd_vector,degraded_robust_00,degraded_robust_00,full_delivery,1,57,44,1,57,12,11,2,1,0.0,0.0,75.08674244668012,0.10788325064178178,0.08342971382964458,0,0.0,0.0,0.6513409961685824,0.04837235483676849,0.22966340621595835,0.0,0.6513409961685824,0.04837235483676849,0.0,0.00327779001111215,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6833333333333333,0.509621587991901,1.0,77.06803556521994,1,0
1411771267,no_relay_hetero,scout_belief,crowd_vector,degraded_robust_00,degraded_robust_00,full_delivery,1,56,44,1,56,12,11,2,1,0.0,0.0,91.75464250305346,0.13414421418575068,0.10194960278117052,0,0.0,0.0,0.6491228070175439,0.05169408036895247,0.23520668642831463,0.0,0.6491228070175439,0.05169408036895247,0.0,0.00410714533634796,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6888888888888889,0.3902535718829515,1.0,75.48577222858354,1,0
448889685,no_relay_hetero,scout_belief,crowd_vector,degraded_robust_00,degraded_robust_00,full_delivery,1,53,44,1,53,11,10,2,1,0.08333333333333333,0.08333333333333333,62.67172541938749,0.10240478009703839,0.0696352504659861,0,0.0,0.0,0.6399176954732511,0.05410447258602818,0.23826753265069822,0.0,0.6399176954732511,0.05410447258602818,0.0,0.0029500823362885137,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.8333333333333334,0.9166666666666666,0.5,0.7055555555555555,0.5345237268316436,1.0,74.27222106453189,0,1
577273184,no_relay_hetero,scout_belief,crowd_vector,degraded_robust_00,degraded_robust_00,full_delivery,1,55,44,1,55,11,11,2,1,0.08333333333333333,0.08333333333333333,66.48619855845499,0.10166085406491589,0.07387355395383888,0,0.0,0.0,0.634920634920635,0.06148404158432992,0.25969860039120995,0.0,0.634920634920635,0.06148404158432992,0.0,0.0033678949146055738,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,0.9166666666666666,0.5,0.6944444444444444,0.5379052087958369,1.0,76.14178403425281,0,1
2824834107,no_relay_hetero,scout_belief,crowd_vector,degraded_robust_00,degraded_robust_00,full_delivery,1,54,44,1,54,12,11,2,1,0.0,0.0,67.60458602057834,0.10243119094027021,0.07511620668953149,0,0.0,0.0,0.6060606060606061,0.05878221734131678,0.25761394688112516,0.0,0.6060606060606061,0.05878221734131678,0.0,0.002270991215404166,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.7,0.5344036775442262,1.0,77.68165148561916,1,0
3972419004,no_relay_hetero,scout_belief,crowd_vector,degraded_robust_00,degraded_robust_00,full_delivery,1,56,45,1,56,12,11,2,1,0.0,0.0,89.37977685745538,0.13067218838809266,0.09931086317495043,11,0.0,0.0,0.6471734892787524,0.04974808156237122,0.23656710391685165,0.0,0.6471734892787524,0.04974808156237122,0.0,0.002518772432089481,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6888888888888889,0.40603550732685156,0.44999999999999996,70.20671932479814,0,1
2119809662,no_relay_hetero,scout_belief,crowd_vector,degraded_robust_00,degraded_robust_00,full_delivery,1,55,44,1,55,12,11,2,1,0.0,0.0,63.52554158772211,0.09453205593411028,0.070583935097469,0,0.0,0.0,0.6567460317460316,0.04916054079257981,0.23238359172584674,0.0,0.6567460317460316,0.04916054079257981,0.0,0.003081032702654941,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6944444444444444,0.570308836663135,1.0,78.095434824395,1,0
