environment,team,relay_count,map_mode,command_mode,stress,seed,mission_success,safe_delivery_success,degraded_outcome,payload_delivery_rate,mean_progress,operational_score,attrition_rate,mean_hazard_exposure,mean_effective_map_delay,packet_loss,completion_step,mean_command_consensus,command_reversal_rate
webots_physics,no_relay_hetero,0,delayed_hazard,consensus_gated,degraded,3218565712,1,1,0,1.0,0.6803758939670095,85.89887508069704,0.0,0.11023108070590593,18,0.1,469,0.8492641311153614,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,consensus_gated,degraded,3268898569,1,1,0,1.0,0.8286248375249441,89.94520599038735,0.0,0.1018592590321938,18,0.1,552,0.9160163208876873,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,consensus_gated,degraded,3252120950,0,0,1,0.5,0.8977762156482445,66.21070025072926,0.0,0.17718735299706181,18,0.1,760,0.9132222102796517,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,consensus_gated,severe,3908060153,1,1,0,1.0,0.8983389365775273,91.1631450630675,0.0,0.10966267568216828,34,0.22,537,0.8394661426083448,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,consensus_gated,severe,3891282534,1,1,0,1.0,0.9599255866706727,92.37089319652557,0.0,0.11429692943263854,34,0.22,522,0.8754252170600278,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,consensus_gated,severe,3874504915,1,1,0,1.0,0.915986625277926,92.02416330492889,0.0,0.1021631263155657,34,0.22,397,0.8157043706852725,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,consensus_gated,severe,3857727296,1,1,0,1.0,0.97072759753621,92.91127359248645,0.0,0.10947752140084425,34,0.22,515,0.8351164032095133,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,consensus_gated,severe,3975170629,0,0,1,0.5,0.8458624418202071,66.64452123778919,0.0,0.14839161198678466,34,0.22,760,0.8519711523174452,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,consensus_gated,severe,3958393010,0,0,1,0.5,0.9443088447007876,64.2877241721823,0.0,0.22929751029662773,34,0.22,760,0.8794355305201362,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,consensus_gated,severe,3941615391,1,1,0,1.0,0.8129342213353019,89.84545733472594,0.0,0.09711366818265095,34,0.22,507,0.8387837455375496,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,consensus_gated,severe,3924837772,0,0,1,0.5,0.8601813030411741,63.31988287059739,0.0,0.21127660118384206,34,0.22,760,0.8731122283185713,0.0
webots_physics,relay_sparse,1,delayed_hazard,autonomous,degraded,1027392737,0,0,1,0.5,0.8282923754188162,64.96838208995159,0.0,0.16989659863028556,15,0.0888,760,0.0,0.0
