variant,stress_base,contrast,metric,delta,ci95_low,ci95_high,expected_direction
degraded_robust_08,degraded,relay_rich_minus_no_relay,operational_score,-2.8794736204532256,-5.9698418688756085,0.03862057237186297,negative
degraded_robust_08,degraded,crowd_minus_auto,degraded_outcome,-0.21875,-0.4375,0.0007812499999957367,negative
degraded_robust_08,degraded,relay_rich_minus_no_relay,degraded_outcome,0.15625,-0.09375,0.375,positive
degraded_robust_08,degraded,crowd_minus_auto,attrition_rate,-0.015624999999999986,-0.04427083333333333,0.013020833333333329,negative
degraded_robust_08,degraded,relay_rich_minus_no_relay,attrition_rate,0.02604166666666667,-0.0026041666666666644,0.0546875,positive
severe_robust_00,severe,crowd_minus_auto,safe_delivery_success,-0.0625,-0.28125,0.1875,positive
severe_robust_00,severe,relay_rich_minus_no_relay,safe_delivery_success,0.0,-0.21875,0.25,negative
severe_robust_00,severe,crowd_minus_auto,operational_score,0.6641226046798465,-2.2879470952918877,3.4595844597116527,positive
severe_robust_00,severe,relay_rich_minus_no_relay,operational_score,-1.310243174793257,-4.224309335467502,1.3798951211254364,negative
severe_robust_00,severe,crowd_minus_auto,degraded_outcome,0.09375,-0.125,0.3125,negative
severe_robust_00,severe,relay_rich_minus_no_relay,degraded_outcome,0.03125,-0.1875,0.25,positive
severe_robust_00,severe,crowd_minus_auto,attrition_rate,-0.005208333333333329,-0.04427083333333333,0.03385416666666667,negative
severe_robust_00,severe,relay_rich_minus_no_relay,attrition_rate,0.02083333333333333,-0.01822916666666667,0.06249999999999999,positive
severe_robust_01,severe,crowd_minus_auto,safe_delivery_success,0.28125,0.0625,0.5,positive
severe_robust_01,severe,relay_rich_minus_no_relay,safe_delivery_success,-0.15625,-0.37578124999999996,0.09375,negative
severe_robust_01,severe,crowd_minus_auto,operational_score,6.362018431229231,3.4924650936859187,9.343280500663743,positive
severe_robust_01,severe,relay_rich_minus_no_relay,operational_score,0.1063924173969042,-3.1725233484646376,3.3559800106167845,negative
