seed,team,map_mode,command_mode,stress,stress_family,mission_profile,policy,mission_success,success_time,first_threshold_time,strict_success,strict_success_time,alive_final,reached_final,n_payload,payload_reached,attrition_rate,early_attrition_rate,cumulative_exposure,exposure_per_agent_step,early_exposure_per_agent_step,recovery_time,mean_fragmentation,fragmentation_mean,max_fragmentation,lambda2_ctrl_mean,lambda2_ctrl_min,lambda2_ctrl_final,lambda2_post_mean,lambda2_per_alive_mean,lambda2_ctrl_n_steps,eigengap_mean,eigengap_min,eigengap_p01,lambda2_low_population_steps,lambda2_degenerate_steps,mean_consensus,mean_dispersion,mean_polarization,command_reversal_rate,early_mean_consensus,early_mean_dispersion,early_reversal_rate,early_map_mse,false_safe_rate,false_danger_rate,mean_effective_map_delay,collapse_time,failure_label,n_agents,reached_fraction,alive_fraction,payload_fraction,time_efficiency,exposure_safety,recovery_safety,operational_score,safe_delivery_success,degraded_outcome
1444111729,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,58,53,1,58,10,9,2.0,1,0.16666666666666666,0.16666666666666666,96.07438590297593,0.14425583468915304,0.10674931766997325,0,0.006666666666666667,0.006666666666666667,0.1,7.213363967804628,2.8459372175164606,8.490813809805637,7.198706084436499,0.6318838919759069,59,0.9619730231421316,0.033671673836245475,0.10616382103073135,0,0,0.5612052730696798,0.0788075762106238,0.3002677063926287,0.0,0.5612052730696798,0.0788075762106238,0.0,0.003780177037980894,0.0,0.0,12.40677966101695,181,0,12.0,0.75,0.8333333333333334,0.5,0.6777777777777778,0.34429166050384985,1.0,67.66452769149835,0,1
1444112738,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,54,45,1,54,12,11,2.0,1,0.0,0.0,71.79925547497393,0.10878675071965747,0.07977695052774882,0,0.0,0.0,0.0,8.441382169288625,3.968105462326294,10.530119979827228,8.441382169288625,0.7034485141073852,55,0.7876018737736945,0.13598115814946254,0.1375041417146057,0,0,0.5373737373737374,0.08614970884553017,0.32170925236357045,0.0,0.5373737373737374,0.08614970884553017,0.0,0.0015533667861837104,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,1.0,0.5,0.7,0.5055147694561024,1.0,77.27720677238543,1,0
1444113747,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,55,51,1,55,11,10,2.0,1,0.08333333333333333,0.08333333333333333,101.11309346771685,0.16204021389057188,0.1123478816307965,14,0.0,0.0,0.0,8.421268930866534,4.329900797140807,9.035840322707319,8.411928682663213,0.7519983176233324,56,1.3249216546038054,0.03826312703513679,0.05535446724246658,0,0,0.5456349206349207,0.08067158674218809,0.3230355530018704,0.0,0.5456349206349207,0.08067158674218809,0.0,0.004535685476877236,0.0,0.0,12.0,181,0,12.0,0.8333333333333334,0.9166666666666666,0.5,0.6944444444444444,0.2634535732246732,0.30000000000000004,63.29946113625654,0,1
1444114756,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,55,52,1,55,10,9,2.0,1,0.16666666666666666,0.16666666666666666,81.44327191875779,0.13093773620379065,0.09049252435417532,10,0.0071428571428571435,0.0071428571428571435,0.1,7.000791503601901,2.7506285270830557,8.535567744888159,6.981359439316362,0.6232507826029813,56,2.3973955899883235,0.6093438646062399,0.6404876258415311,0,0,0.5555555555555556,0.07955480684917363,0.31311799162717735,0.0,0.5555555555555556,0.07955480684917363,0.0,0.001099456587938115,0.0,0.0,13.214285714285714,181,0,12.0,0.75,0.8333333333333334,0.5,0.6944444444444444,0.4048284718009516,0.5,63.778709716324435,0,1
1444115765,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,56,52,1,56,10,9,2.0,1,0.16666666666666666,0.16666666666666666,62.165595544266715,0.10343693102207441,0.06907288393807413,0,0.0,0.0,0.0,8.150002507931623,5.1343691577292745,8.768069969760267,8.192736941265927,0.7692538070302739,57,1.2023519243548126,0.1307777822166738,0.138079346871014,0,0,0.5477582846003899,0.08213608188762492,0.31876442839251157,0.0,0.5477582846003899,0.08213608188762492,0.0,0.0007332809951745831,0.0,0.0,12.0,181,0,12.0,0.75,0.8333333333333334,0.5,0.6888888888888889,0.5298321317178436,1.0,70.43987206627203,0,1
1444116774,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,57,45,1,57,12,11,2.0,1,0.0,0.0,82.80059994232005,0.11896637922747133,0.09200066660257783,0,0.0,0.0,0.0,7.939185916087111,3.942730988625815,10.328072660066091,7.939185916087111,0.6615988263405927,58,1.313698567869675,0.0994020629192498,0.11970862803379266,0,0,0.5421455938697318,0.08138641746972232,0.3133463464401463,0.0,0.5421455938697318,0.08138641746972232,0.0,0.0011075897227236931,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,1.0,0.5,0.6833333333333333,0.4592437307842212,1.0,76.36274556431243,1,0
1444117783,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,55,45,1,55,10,10,2.0,2,0.16666666666666666,0.16666666666666666,88.40622865336333,0.1341520920384876,0.09822914294818147,0,0.0,0.0,0.0,8.249732530481696,4.061421593985621,8.948654667145714,8.225119298776832,0.7006720013814781,56,0.9049966029701417,0.0013429199396597369,0.03156570755784216,0,0,0.5595238095238095,0.07660892980384171,0.3008744928235601,0.0,0.5595238095238095,0.07660892980384171,0.0,0.0005983644237810416,0.0,0.0,12.785714285714286,181,0,12.0,0.8333333333333334,0.8333333333333334,1.0,0.6944444444444444,0.39021776346142,1.0,79.57415979957099,0,1
1444118792,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,55,45,1,55,12,11,2.0,1,0.0,0.0,63.46697240615379,0.09444489941391934,0.07051885822905977,0,0.0,0.0,0.0,8.036772391626998,3.9920419695074356,9.875986109854695,8.036772391626998,0.6697310326355833,56,1.0067693282440477,0.03878786381793908,0.09539690104167739,0,0,0.5416666666666667,0.07517299659703756,0.30460195889114844,0.0,0.5416666666666667,0.07517299659703756,0.0,0.0017860423188874423,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,1.0,0.5,0.6944444444444444,0.570705002664003,1.0,78.10098114840714,1,0
1444119801,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,56,46,1,56,12,11,2.0,1,0.0,0.0,68.81501063905726,0.10060674070037612,0.07646112293228585,0,0.006060606060606061,0.006060606060606061,0.09090909090909091,7.59158032005803,3.3498870188988144,10.260449418069717,7.59158032005803,0.6326316933381693,57,1.0579594485131738,0.12495530063904958,0.12614101414949735,0,0,0.5750487329434698,0.08867028605838413,0.3267620547123204,0.0,0.5750487329434698,0.08867028605838413,0.0,0.001776946478755796,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,1.0,0.5,0.6888888888888889,0.5426966331801086,1.0,77.61997508674374,1,0
1444120810,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,54,45,1,54,11,10,2.0,1,0.08333333333333333,0.08333333333333333,58.66171848697842,0.09446331479384609,0.0651796872077538,0,0.0,0.0,0.0,7.86734293093983,3.905650729477058,9.053440603619006,7.8513407591764315,0.6897087544076697,55,1.038564442003837,0.12308624670837709,0.14565323018020007,0,0,0.5515151515151515,0.08320182597389549,0.31562831202024044,0.0,0.5515151515151515,0.08320182597389549,0.0,0.003171434808047595,0.0,0.0,14.763636363636364,181,0,12.0,0.8333333333333334,0.9166666666666666,0.5,0.7,0.5706212963916086,1.0,74.68869814948252,0,1
