level,k,team,stress,command_mode,metric,n_pairs,n_cells,mean_diff,ci_low,ci_high,improvement_rate,positive_diff_rate,boot_frac_positive,boot_frac_improvement
stress_k,4,relay_rich,degraded,ALL,mean_effective_map_delay,480,12,-0.0030958658490265116,-0.010549866617300827,0.004157599414028403,0.008333333333333333,0.010416666666666666,0.218,0.7815
stress_k,4,relay_rich,degraded,ALL,operational_score,480,12,0.1534781553450961,-0.013462143999235088,0.33300691168174223,0.45208333333333334,0.45208333333333334,0.957,0.957
stress_k,1,relay_sparse,severe,ALL,safe_delivery_success,480,12,0.027083333333333334,0.012447916666666666,0.041666666666666664,0.03333333333333333,0.03333333333333333,1.0,1.0
stress_k,1,relay_sparse,severe,ALL,attrition_rate,480,12,-0.0006944444444444443,-0.002430555555555555,0.0010416666666666673,0.0125,0.00625,0.2285,0.767
stress_k,1,relay_sparse,severe,ALL,mean_effective_map_delay,480,12,-0.0029379237670980126,-0.010265509973994558,0.0011551164352888055,0.004166666666666667,0.004166666666666667,0.306,0.677
stress_k,1,relay_sparse,severe,ALL,operational_score,480,12,-0.1393964691591956,-0.3092934648489132,0.027401532123846627,0.46041666666666664,0.46041666666666664,0.0485,0.0485
stress_k,2,balanced_hetero,severe,ALL,safe_delivery_success,480,12,0.014583333333333334,0.0020833333333333333,0.027083333333333334,0.01875,0.01875,0.9875,0.9875
stress_k,2,balanced_hetero,severe,ALL,attrition_rate,480,12,-0.000694444444444445,-0.002083333333333334,0.0006944444444444437,0.010416666666666666,0.004166666666666667,0.1165,0.8785
stress_k,2,balanced_hetero,severe,ALL,mean_effective_map_delay,480,12,0.004135921046084393,-0.00016492380376225874,0.012444132798034802,0.0020833333333333333,0.008333333333333333,0.8885,0.1065
stress_k,2,balanced_hetero,severe,ALL,operational_score,480,12,-0.08458252435550724,-0.2437648607135636,0.08312555639933472,0.40625,0.40625,0.1615,0.1615
stress_k,3,relay_mid,severe,ALL,safe_delivery_success,480,12,0.025,0.010416666666666666,0.03958333333333334,0.029166666666666667,0.029166666666666667,0.9995,0.9995
stress_k,3,relay_mid,severe,ALL,attrition_rate,480,12,2.023844055306275e-19,-0.0006944444444444441,0.0006944444444444449,0.004166666666666667,0.004166666666666667,0.526,0.3965
stress_k,3,relay_mid,severe,ALL,mean_effective_map_delay,480,12,0.012865659285516104,-0.0009645587322538222,0.02997627093176594,0.0020833333333333333,0.01875,0.9665,0.0335
stress_k,3,relay_mid,severe,ALL,operational_score,480,12,-0.03269141502137656,-0.16079201914224714,0.08903119525565759,0.46041666666666664,0.46041666666666664,0.2915,0.2915
stress_k,4,relay_rich,severe,ALL,safe_delivery_success,480,12,0.0125,-0.002083333333333333,0.027083333333333334,0.020833333333333332,0.020833333333333332,0.9505,0.9505
stress_k,4,relay_rich,severe,ALL,attrition_rate,480,12,0.0003472222222222225,-0.0006944444444444443,0.0013888888888888898,0.00625,0.008333333333333333,0.7455,0.23
stress_k,4,relay_rich,severe,ALL,mean_effective_map_delay,480,12,0.010695616974666628,4.778510081368972e-05,0.02741740333690255,0.00625,0.0125,0.9825,0.0175
stress_k,4,relay_rich,severe,ALL,operational_score,480,12,0.03967855521920211,-0.09278460835804753,0.16485262304211587,0.39166666666666666,0.39166666666666666,0.7045,0.7045
