stress,exposure_cut,recovery_cut,point_means_by_k,selection_frequency_by_k,weight_k_le_1,weight_k_ge_2,weight_k_ge_3,weight_k2
severe,0.22,6,"[0.339583, 0.389583, 0.34375, 0.285417, 0.26875]","[0.0394, 0.9047, 0.0559, 0.0, 0.0]",0.9441,0.0559,0.0,0.0559
degraded,0.22,8,"[0.541667, 0.564583, 0.545833, 0.483333, 0.464583]","[0.1738, 0.6183, 0.2076, 0.0003, 0.0]",0.7922,0.2078,0.0003,0.2076
severe,0.22,8,"[0.35625, 0.408333, 0.366667, 0.289583, 0.283333]","[0.038, 0.873, 0.089, 0.0, 0.0]",0.911,0.089,0.0,0.089
degraded,0.22,10,"[0.61875, 0.597917, 0.5625, 0.533333, 0.522917]","[0.7252, 0.2627, 0.011, 0.0005, 0.0005]",0.988,0.012,0.001,0.011
severe,0.22,10,"[0.45, 0.45625, 0.375, 0.33125, 0.314583]","[0.4138, 0.586, 0.0003, 0.0, 0.0]",0.9997,0.0003,0.0,0.0003
degraded,0.22,12,"[0.6375, 0.60625, 0.575, 0.566667, 0.535417]","[0.83, 0.1465, 0.014, 0.009, 0.0005]",0.9765,0.0235,0.0095,0.014
severe,0.22,12,"[0.46875, 0.4625, 0.38125, 0.35625, 0.325]","[0.5795, 0.4205, 0.0, 0.0, 0.0]",1.0,0.0,0.0,0.0
degraded,0.22,14,"[0.65625, 0.633333, 0.583333, 0.58125, 0.545833]","[0.7528, 0.2412, 0.003, 0.0027, 0.0003]",0.994,0.006,0.003,0.003
severe,0.22,14,"[0.472917, 0.4625, 0.383333, 0.360417, 0.327083]","[0.6255, 0.3743, 0.0003, 0.0, 0.0]",0.9997,0.0003,0.0,0.0003
degraded,0.22,16,"[0.65625, 0.633333, 0.583333, 0.583333, 0.545833]","[0.7628, 0.2315, 0.0027, 0.003, 0.0]",0.9943,0.0057,0.003,0.0027
severe,0.22,16,"[0.472917, 0.4625, 0.383333, 0.364583, 0.327083]","[0.6228, 0.3772, 0.0, 0.0, 0.0]",1.0,0.0,0.0,0.0
